Normals_0,Normals_1,Normals_2,Points_0,Points_1,Points_2
-0.556432,-0.624361,0.54823,2.56758,-0.667882,2.09485
-0.539157,-0.650254,0.535239,2.57045,-0.671571,2.09326
-0.558783,-0.620524,0.550193,2.56791,-0.667851,2.09522
-0.584051,-0.578629,0.569273,2.54461,-0.628985,2.11283
-0.57302,-0.597574,0.560851,2.56401,-0.66211,2.09735
-0.585935,-0.575442,0.570567,2.53825,-0.629576,2.1057
-0.572951,-0.597652,0.560838,2.56744,-0.667664,2.09494
-0.610497,-0.529836,0.588699,2.51179,-0.589617,2.11649
-0.598429,-0.552878,0.579835,2.51616,-0.596223,2.1147
-0.607456,-0.535636,0.586593,2.52287,-0.588587,2.12891
-0.598428,-0.552874,0.57984,2.53522,-0.624991,2.10694
-0.634766,-0.479241,0.606136,2.4892,-0.548034,2.12822
-0.622108,-0.506409,0.597103,2.50745,-0.581625,2.11874
-0.634696,-0.479234,0.606214,2.50276,-0.546774,2.14342
-0.660156,-0.418479,0.623754,2.46858,-0.504988,2.13815
-0.646802,-0.451591,0.614584,2.48064,-0.527556,2.13426
-0.658222,-0.42324,0.622585,2.48458,-0.503501,2.15608
-0.646801,-0.451588,0.614587,2.48513,-0.538292,2.1311
-0.683422,-0.352883,0.639068,2.45126,-0.46036,2.14689
-0.672618,-0.384798,0.632073,2.45372,-0.466661,2.14568
-0.680723,-0.360892,0.637474,2.46876,-0.458732,2.1665
-0.672618,-0.384792,0.632076,2.46386,-0.492818,2.14054
-0.70362,-0.283956,0.651374,2.43907,-0.414281,2.15668
-0.693421,-0.320534,0.64531,2.44779,-0.447243,2.14967
-0.702139,-0.289197,0.650666,2.45523,-0.412778,2.17479
-0.719968,-0.21404,0.660176,2.43288,-0.366833,2.1678
-0.712774,-0.246954,0.656481,2.43753,-0.402461,2.15945
-0.72065,-0.21035,0.660618,2.44433,-0.365767,2.18064
-0.732961,-0.140216,0.665664,2.42831,-0.318745,2.17592
-0.726332,-0.180861,0.663122,2.43055,-0.33954,2.1727
-0.732886,-0.140183,0.665753,2.43579,-0.318048,2.1843
-0.726336,-0.18088,0.663113,2.43244,-0.358479,2.16961
-0.72634,-0.180894,0.663105,2.43279,-0.361938,2.16904
-0.743028,-0.0515124,0.667275,2.429,-0.26988,2.18396
-0.738342,-0.0992705,0.667081,2.42895,-0.299142,2.17955
-0.742365,-0.0582855,0.667455,2.4302,-0.269769,2.1853
-0.738336,-0.0992955,0.667083,2.42849,-0.313306,2.17692
-0.745831,-0.00343652,0.666126,2.42994,-0.263801,2.18504
-0.745966,-0.00353794,0.665975,2.42913,-0.269034,2.18411
-0.724428,0.29673,0.622219,2.47951,-0.122099,2.21482
