Points_0,Points_1,Points_2
0.0611134,2.43254,41.8815
-0.463487,2.81035,40.9639
0.282101,3.49931,41.4381
-1.80864,4.23065,46.6735
-1.47864,4.37702,45.5374
-0.998145,4.87816,46.2728
-1.97315,3.90052,47.4692
-2.10775,3.41916,48.4803
-2.76976,2.89271,47.5524
2.06873,6.18713,44.2278
2.23058,6.05716,43.2088
1.82412,7.22611,43.8096
-1.04751,7.42843,47.3781
-1.52385,6.9813,46.3989
-1.86651,6.79659,47.5309
2.01046,8.41031,45.0669
1.14144,7.7811,44.7288
1.16453,8.41015,45.7246
-4.58467,3.95992,47.2015
-4.98338,4.50448,46.2854
-5.51483,3.54538,46.6235
-18.0359,18.0993,46.6362
-17.8763,17.6667,45.738
-18.7202,17.2943,46.4395
-7.01712,-0.456495,42.3839
-6.74273,-0.432087,43.2764
-7.54293,-1.18584,42.6953
-2.70533,3.2295,44.2025
-3.45147,2.82986,44.6009
-3.31324,2.54034,43.5455
0.751277,7.03854,43.9937
-0.507273,7.62509,46.4787
-16.1027,19.5448,43.8439
-16.7517,18.7935,43.4465
-16.7104,19.0018,44.5592
-17.1803,17.9848,44.1764
-16.1756,18.8239,41.5705
-16.2445,17.89,40.6603
-16.9567,18.2188,41.3686
-14.9844,18.5305,43.9013
-15.0871,17.4679,44.3325
-15.1213,17.4075,43.3773
-17.3857,18.6259,46.3349
-17.7814,18.6545,47.5685
-19.0293,9.977,44.7033
-18.1805,9.20353,44.4018
-18.2693,10.3179,44.8194
-5.63434,-0.444488,38.9794
-5.45385,0.30468,38.6392
-4.57274,0.0714488,39.3738
-5.22617,0.612874,45.4381
-5.87834,0.0580205,44.8768
-5.34468,0.900029,44.3873
-2.43993,4.52344,41.802
-3.11076,4.80996,42.3128
-2.25498,5.06784,42.579
0.247135,7.79611,45.5774
-0.765203,7.17545,45.5106
-4.20351,5.2229,46.0208
-3.27909,5.8618,45.8966
-3.97157,5.47187,45.1448
-4.14456,1.53119,46.9679
-3.91088,2.01645,46.0487
-3.31295,2.49234,46.7367
-17.9069,15.7768,42.4773
-18.0016,15.9165,43.2764
-17.5554,16.7356,42.7296
-19.1061,14.3304,46.5627
-18.1782,13.9742,46.2088
-18.0869,14.8964,46.648
-4.4325,0.85827,42.0247
-4.01159,1.68069,42.8394
-4.95081,1.08413,42.6545
-8.43788,-2.22106,40.1471
-7.88522,-2.31134,39.2356
-7.47505,-2.12269,40.0547
-16.6772,16.1551,39.2909
-16.2945,15.2844,39.3654
-16.889,15.1296,38.725
-17.4052,16.731,39.8362
-17.1824,17.5789,40.5839
-16.4258,17.1227,40.0239
-18.176,16.1603,44.2149
-18.5021,15.1446,43.7301
-18.3052,14.8047,42.6598
-18.8861,14.1117,43.4457
-17.5625,-10.4866,39.2419
-18.7239,-10.0083,39.3301
-18.2266,-10.9465,39.0223
0.711703,3.37297,42.4184
-4.62227,5.16531,44.3494
-5.11027,4.91744,43.4692
-5.57133,4.67055,44.1896
-1.92904,6.21304,44.4134
-1.015,6.61312,44.5819
-1.11431,6.07391,43.6959
-10.4746,-3.55475,39.6674
-10.6783,-3.94122,38.6313
-9.76855,-3.38745,39.0091
-7.65659,-0.763187,44.3368
-6.60076,-0.450097,44.2114
-6.78441,-0.217734,45.1422
-15.8385,12.2578,39.1487
-15.4376,12.5731,40.0784
-15.3918,11.4349,39.5871
-20.1549,15.6212,45.9374
-19.9198,15.9855,47.103
