Points_0,Points_1,Points_2
-14.4761,6.19388,15.5524
-14.2072,6.25673,15.2173
-14.5963,6.10216,15.1293
18.8447,-3.56863,0.443424
18.7784,-3.1351,0.478035
19.1599,-3.3546,0.620251
-13.2789,-13.7888,3.16583
-13.6746,-13.8549,3.04618
-13.3351,-14.1341,2.96638
18.6285,-10.8919,3.70846
18.319,-10.9644,4.03026
18.1431,-10.845,3.58668
21.9196,-7.26975,2.59216
21.9037,-6.86078,2.46254
22.2102,-6.99414,2.71319
-14.4307,-12.8067,3.12517
-14.4191,-13.2192,3.04511
-14.1131,-13.0368,3.21753
-6.13417,-13.3907,6.34834
-5.80429,-13.2852,6.11611
-5.75887,-13.3067,6.52475
-10.7645,6.97161,17.8961
-10.9079,6.96118,17.4579
-11.2569,6.9556,17.8184
-5.61808,6.89816,11.6688
-5.75285,6.93778,12.1594
-5.55189,7.28867,11.8615
-1.37576,9.62898,19.1958
-1.37294,9.21869,19.4103
-0.935854,9.48593,19.4118
-7.43799,-14.8269,18.3439
-7.8453,-14.7347,18.2492
-7.56176,-14.8043,17.9386
-12.3758,5.58841,24.0437
-12.0881,5.71041,23.7444
-12.5053,5.67359,23.659
-0.718016,-11.1967,28.0481
-0.413476,-11.466,27.9873
-0.35869,-11.1356,28.2326
-25.8062,-6.43841,27.698
-25.8071,-6.86428,27.7767
-25.8577,-6.59733,28.0932
-25.0281,-6.04414,25.9067
-25.2593,-6.13676,26.294
-25.1935,-5.71013,26.1728
-20.6451,-16.559,25.9697
-20.9002,-16.3456,25.7726
-20.4801,-16.3337,25.5735
-22.8306,-2.4083,37.4753
-23.1212,-2.75888,37.3238
-22.8658,-2.74785,37.7784
-16.9162,2.92895,35.0526
-16.9406,2.63728,34.7988
-17.3013,2.74261,35.0196
-15.5748,8.71697,38.1082
-15.6072,8.37188,37.9184
-15.8055,8.71305,37.763
-15.9026,19.0566,47.2108
-15.6805,19.1323,46.9182
-16.0861,19.49,46.9675
-12.3709,-6.41868,38.6124
-12.3419,-6.78138,38.4722
-12.1454,-6.46561,38.2693
-20.1652,-7.119,39.52
-20.0223,-7.54211,39.5114
-19.7259,-7.21635,39.5779
-12.8254,-7.02503,38.9759
-12.5479,-7.09864,38.6794
-12.5751,-6.72972,38.813
1.57278,4.92627,42.7437
1.65671,5.12565,43.13
1.46442,4.77157,43.1388
-7.27064,-0.33472,37.8077
