Normals_0,Normals_1,Normals_2,Points_0,Points_1,Points_2
-0.349979,0.929623,-0.115394,-14.4761,6.19388,15.5524
-0.345667,0.926901,-0.146183,-14.2072,6.25673,15.2173
-0.313825,0.941553,-0.122444,-14.5963,6.10216,15.1293
0.427234,0.0760653,-0.900936,18.8447,-3.56863,0.443424
0.409418,0.133603,-0.902512,18.7784,-3.1351,0.478035
0.444952,0.0941757,-0.890589,19.1599,-3.3546,0.620251
-0.192468,-0.457281,0.868245,-13.2789,-13.7888,3.16583
-0.210099,-0.479187,0.852196,-13.6746,-13.8549,3.04618
-0.173549,-0.549938,0.816976,-13.3351,-14.1341,2.96638
0.0316476,-0.955497,-0.293299,18.6285,-10.8919,3.70846
-0.0648835,-0.981817,-0.178398,18.319,-10.9644,4.03026
-0.0715854,-0.95842,-0.276238,18.1431,-10.845,3.58668
0.533574,-0.277831,-0.798817,21.9196,-7.26975,2.59216
0.541038,-0.230787,-0.808712,21.9037,-6.86078,2.46254
0.569882,-0.238205,-0.786443,22.2102,-6.99414,2.71319
-0.421532,-0.128554,0.897655,-14.4307,-12.8067,3.12517
-0.428045,-0.242925,0.870497,-14.4191,-13.2192,3.04511
-0.374303,-0.187632,0.908126,-14.1131,-13.0368,3.21753
0.25247,-0.957714,-0.137999,-6.13417,-13.3907,6.34834
0.232874,-0.968671,-0.0862878,-5.80429,-13.2852,6.11611
0.263596,-0.956703,-0.123436,-5.75887,-13.3067,6.52475
-0.0282519,0.997782,0.0602684,-10.7645,6.97161,17.8961
-0.0245475,0.999658,-0.00898467,-10.9079,6.96118,17.4579
-0.018231,0.999267,0.033665,-11.2569,6.9556,17.8184
-0.906192,0.324859,-0.270707,-5.61808,6.89816,11.6688
-0.90594,0.338503,-0.254341,-5.75285,6.93778,12.1594
-0.918645,0.289998,-0.268314,-5.55189,7.28867,11.8615
-0.285829,0.442571,0.849961,-1.37576,9.62898,19.1958
-0.269803,0.459944,0.845966,-1.37294,9.21869,19.4103
-0.261859,0.431612,0.863216,-0.935854,9.48593,19.4118
-0.218973,-0.975606,0.0156004,-7.43799,-14.8269,18.3439
-0.178191,-0.982307,0.0576166,-7.8453,-14.7347,18.2492
-0.183072,-0.982577,0.0320507,-7.56176,-14.8043,17.9386
-0.147651,0.941109,0.30416,-12.3758,5.58841,24.0437
-0.127762,0.95556,0.265672,-12.0881,5.71041,23.7444
-0.146645,0.954197,0.260774,-12.5053,5.67359,23.659
-0.346922,-0.538329,0.768015,-0.718016,-11.1967,28.0481
-0.309107,-0.615018,0.7254,-0.413476,-11.466,27.9873
-0.32278,-0.514145,0.794649,-0.35869,-11.1356,28.2326
-0.980988,0.0435594,-0.189117,-25.8062,-6.43841,27.698
-0.978691,-0.043678,-0.200638,-25.8071,-6.86428,27.7767
-0.994373,0.0434491,-0.0966122,-25.8577,-6.59733,28.0932
-0.78972,-0.038552,-0.612255,-25.0281,-6.04414,25.9067
-0.859521,-0.0397276,-0.509554,-25.2593,-6.13676,26.294
-0.848003,0.0304591,-0.529116,-25.1935,-5.71013,26.1728
-0.316662,-0.765227,-0.560494,-20.6451,-16.559,25.9697
-0.255031,-0.783908,-0.56608,-20.9002,-16.3456,25.7726
-0.265058,-0.739217,-0.619114,-20.4801,-16.3337,25.5735
-0.789513,0.558019,0.255508,-22.8306,-2.4083,37.4753
-0.794187,0.573736,0.200236,-23.1212,-2.75888,37.3238
-0.739106,0.4589,0.493085,-22.8658,-2.74785,37.7784
0.0846944,0.487218,-0.869164,-16.9162,2.92895,35.0526
-0.00635603,0.788585,-0.614893,-16.9406,2.63728,34.7988
-0.10698,0.603691,-0.790008,-17.3013,2.74261,35.0196
0.872751,0.170662,-0.457363,-15.5748,8.71697,38.1082
0.866063,0.162876,-0.472659,-15.6072,8.37188,37.9184
0.802426,0.212417,-0.557666,-15.8055,8.71305,37.763
0.575448,0.571948,0.584582,-15.9026,19.0566,47.2108
0.632395,0.609601,0.477978,-15.6805,19.1323,46.9182
0.597397,0.604841,0.526578,-16.0861,19.49,46.9675
0.790642,-0.182655,0.5844,-12.3709,-6.41868,38.6124
0.821411,-0.145284,0.551523,-12.3419,-6.78138,38.4722
0.862836,-0.194394,0.466609,-12.1454,-6.46561,38.2693
-0.176915,-0.064542,0.982108,-20.1652,-7.119,39.52
-0.171278,-0.085558,0.981501,-20.0223,-7.54211,39.5114
-0.136297,-0.0621238,0.988718,-19.7259,-7.21635,39.5779
0.604667,-0.136211,0.784744,-12.8254,-7.02503,38.9759
0.745828,-0.173103,0.643254,-12.5479,-7.09864,38.6794
0.711279,-0.14861,0.68702,-12.5751,-6.72972,38.813
0.90086,-0.42833,-0.0706028,1.57278,4.92627,42.7437
0.893778,-0.448028,-0.0207794,1.65671,5.12565,43.13
0.802187,-0.562674,0.199735,1.46442,4.77157,43.1388
0.516558,-0.106166,-0.849645,-7.27064,-0.33472,37.8077
0.583746,-0.319963,-0.746233,-6.88082,-0.585921,38.0993
0.583975,-0.350621,-0.732147,-7.22053,-0.817904,37.9433
-0.0477719,0.163383,0.985405,-17.4879,18.5105,47.6293
-0.00387516,0.188299,0.982104,-17.7029,18.2188,47.6616
0.0197347,0.0532807,0.998385,-17.2721,18.142,47.7009
0.769135,-0.271096,0.578738,-15.8459,18.8028,47.0122
0.510232,0.825116,0.242583,1.51472,8.69381,46.9025
0.432425,0.819249,0.376615,1.29272,8.68332,47.1837
0.635161,0.659037,0.402791,1.59506,8.5078,47.2184
0.844231,-0.521614,-0.123263,0.683519,3.5277,42.2167
0.854114,-0.306336,-0.420295,0.823189,3.91072,42.1377
0.924734,-0.353453,-0.141202,0.865699,3.74039,42.4921
0.302618,-0.642259,0.70422,-0.280373,2.8461,42.403
0.296604,-0.648639,0.700923,-0.127074,2.63906,42.1492
0.319487,-0.631633,0.706377,0.0306215,2.88065,42.295
0.574093,-0.698033,0.427981,-1.08522,1.68397,41.5958
0.500775,-0.733811,0.459071,-0.764963,1.88412,41.4865
0.45236,-0.690929,0.563904,-0.954103,2.00628,41.8011
0.540361,-0.153068,0.827394,21.6912,-5.76992,12.2277
0.197327,-0.0622286,0.978361,22.0062,-5.54431,12.0737
0.578827,0.0768844,0.811818,21.6176,-5.41547,12.2339
-0.447394,0.571667,-0.687776,-17.1563,2.87161,11.2562
-0.453211,0.581908,-0.675265,-17.0039,3.20595,11.4343
-0.447572,0.570752,-0.68842,-16.751,3.02148,11.116
0.418665,-0.352609,0.836891,-0.666528,6.09812,49.6789
0.431237,-0.367005,0.824222,-0.167654,6.1247,49.4395
0.433952,-0.394055,0.810189,-0.523865,6.36353,49.7464
0,0,-1,16.7238,-3.58,-0.0311839
0,0,-1,16.4991,-3.91654,-0.0311839
0,0,-1,16.2812,-3.53419,-0.0311839
0,0,-1,6.19023,-10.7875,-0.0311839
0,0,-1,6.70062,-10.8429,-0.0311839
0,0,-1,6.35301,-11.2035,-0.0311839
0,0,-1,-0.60192,-2.34881,-0.0311839
0,0,-1,-0.342799,-2.06252,-0.0311839
0,0,-1,-0.213079,-2.44275,-0.0311839
0,0,-1,2.76217,-7.7498,-0.0311839
0,0,-1,3.01035,-8.10219,-0.0311839
0,0,-1,2.58397,-8.12992,-0.0311839
0,0,-1,6.64813,-5.48966,-0.0311839
0,0,-1,7.06024,-5.36577,-0.0311839
0,0,-1,6.98415,-5.80343,-0.0311839
0,0,-1,9.1825,-6.70242,-0.0311839
0,0,-1,9.5809,-6.5688,-0.0311839
0,0,-1,9.50638,-6.97923,-0.0311839
0,0,-1,14.2705,-7.99226,-0.0311839
0,0,-1,14.58,-7.66483,-0.0311839
0,0,-1,14.6962,-8.09163,-0.0311839
0,0,-1,2.88802,-9.25926,-0.0311839
0,0,-1,2.62967,-8.89422,-0.0311839
0,0,-1,3.07566,-8.8577,-0.0311839
0,0,-1,1.93748,-7.78808,-0.0311839
0,0,-1,1.53006,-7.77837,-0.0311839
0,0,-1,1.74046,-7.44768,-0.0311839
0,0,-1,2.34801,-7.77922,-0.0311839
0,0,-1,1.9877,-3.65155,-0.0311839
0,0,-1,2.2423,-4.02191,-0.0311839
0,0,-1,1.80996,-4.0746,-0.0311839
0,0,-1,6.46952,-10.4293,-0.0311839
0,0,-1,-7.54923,-1.00505,-0.0311839
0,0,-1,-7.28939,-0.669592,-0.0311839
0,0,-1,-7.09369,-1.09692,-0.0311839
0,0,-1,1.54261,-3.71463,-0.0311839
0,0,-1,6.36689,-3.0665,-0.0311839
0,0,-1,6.2841,-3.50679,-0.0311839
0,0,-1,5.95468,-3.19617,-0.0311839
0,0,-1,7.49685,-3.62708,-0.0311839
0,0,-1,7.69329,-3.20955,-0.0311839
0,0,-1,7.93217,-3.5944,-0.0311839
0,0,-1,-0.412544,7.52922,-0.0311839
0,0,-1,-0.193699,7.10976,-0.0311839
0,0,-1,-0.678248,7.13936,-0.0311839
0,0,-1,5.33591,-4.1858,-0.0311839
0,0,-1,5.76933,-4.06852,-0.0311839
0,0,-1,5.67565,-4.51751,-0.0311839
0,0,-1,2.01435,6.69003,-0.0311839
0,0,-1,1.93152,7.08753,-0.0311839
0,0,-1,2.33732,6.94835,-0.0311839
0,0,-1,0.0632834,-2.1294,-0.0311839
0,0,-1,5.88092,-11.131,-0.0311839
0,0,-1,3.70416,-3.55013,-0.0311839
0,0,-1,3.51945,-3.91028,-0.0311839
0,0,-1,3.28823,-3.55846,-0.0311839
0,0,-1,6.73563,-5.04498,-0.0311839
0,0,-1,1.90161,5.62253,-0.0311839
0,0,-1,1.79568,6.02154,-0.0311839
0,0,-1,2.20095,5.88102,-0.0311839
0,0,-1,8.13783,-3.2126,-0.0311839
0,0,-1,-10.3413,-1.25771,-0.0311839
0,0,-1,-9.91051,-1.41123,-0.0311839
0,0,-1,-10.3132,-1.77262,-0.0311839
0,0,-1,-6.01182,-11.4084,-0.0311839
