Normals_0,Normals_1,Normals_2,Points_0,Points_1,Points_2
-0.760436,-0.448226,-0.469926,0.500783,1.48466,1.92293
-0.760445,-0.448211,-0.469926,0.443065,1.55803,1.94635
-0.760438,-0.44823,-0.469919,0.481707,1.56309,1.87899
-0.760439,-0.448255,-0.469893,0.427908,1.40066,2.12098
-0.760427,-0.448221,-0.469945,0.383934,1.44485,2.14999
-0.760432,-0.448231,-0.469928,0.405617,1.44779,2.1121
-0.760432,-0.44824,-0.469919,0.574337,1.54898,1.74255
-0.760457,-0.448234,-0.469885,0.5404,1.56952,1.77787
-0.760457,-0.448221,-0.469896,0.539638,1.6075,1.74288
-0.760428,-0.448243,-0.469922,0.596658,1.54037,1.71464
-0.760456,-0.448196,-0.469923,0.604539,1.50051,1.73991
-0.760451,-0.448238,-0.46989,0.319056,1.5667,2.13876
-0.760456,-0.44825,-0.469871,0.310643,1.61463,2.10665
-0.760443,-0.44823,-0.469911,0.352172,1.5722,2.07992
-0.760427,-0.448241,-0.469926,0.370361,1.66423,1.9627
-0.760422,-0.448247,-0.469929,0.367879,1.60072,2.0273
-0.760436,-0.448204,-0.469946,0.32336,1.68105,2.02271
-0.760479,-0.448178,-0.469902,0.605318,1.35992,1.87275
-0.760433,-0.448252,-0.469906,0.613556,1.38958,1.83113
-0.760409,-0.448244,-0.469952,0.625214,1.37181,1.82921
-0.760424,-0.448215,-0.469956,0.394113,1.78447,1.80958
-0.760447,-0.448247,-0.469888,0.413478,1.78788,1.77499
-0.760456,-0.448241,-0.46988,0.444267,1.74719,1.76398
-0.760478,-0.44823,-0.469854,0.317181,1.51052,2.19537
-0.760417,-0.44823,-0.469954,0.291833,1.57125,2.17847
-0.760419,-0.448183,-0.469995,0.326407,1.52482,2.16681
-0.760451,-0.448213,-0.469914,0.503867,1.61192,1.79656
-0.760497,-0.448195,-0.469858,0.591368,1.37572,1.88025
-0.760474,-0.448209,-0.46988,0.599967,1.41029,1.83336
-0.760469,-0.448211,-0.469888,0.578551,1.48884,1.7931
-0.760436,-0.448234,-0.469917,0.541448,1.51729,1.82601
-0.760428,-0.448225,-0.46994,0.458016,1.34668,2.12375
-0.760429,-0.448162,-0.469998,0.431621,1.36143,2.15239
-0.760456,-0.448188,-0.46993,0.443996,1.36664,2.1274
-0.760448,-0.448229,-0.469904,0.449534,1.60525,1.89084
-0.760432,-0.448247,-0.469913,0.417361,1.64741,1.90269
-0.76043,-0.448236,-0.469927,0.474451,1.60878,1.84715
-0.760404,-0.448176,-0.470026,0.578573,1.5994,1.68761
-0.760455,-0.448297,-0.469828,0.562939,1.63501,1.67894
-0.760534,-0.448261,-0.469734,0.590286,1.59696,1.67098
-0.760422,-0.44822,-0.469955,0.279252,1.75015,2.02818
-0.760466,-0.448179,-0.469922,0.260822,1.7637,2.04508
-0.760394,-0.44826,-0.469962,0.2756,1.78422,2.0016
-0.76039,-0.448295,-0.469934,0.263573,1.72976,2.073
-0.760462,-0.448228,-0.469881,0.283796,1.70776,2.06126
-0.760493,-0.448165,-0.469891,0.248325,1.74635,2.08185
-0.760461,-0.448233,-0.469879,0.256245,1.70332,2.11008
-0.760412,-0.448188,-0.470001,0.56574,1.60207,1.70582
-0.760441,-0.448221,-0.469923,0.534062,1.63761,1.72318
-0.760435,-0.448239,-0.469914,0.529402,1.66278,1.70672
-0.760453,-0.448191,-0.469932,0.507291,1.29946,2.08905
-0.760411,-0.448273,-0.469922,0.486199,1.30657,2.1164
-0.760419,-0.448216,-0.469964,0.498472,1.31413,2.08933
-0.76052,-0.448101,-0.46991,0.520996,1.30158,2.06485
-0.760424,-0.448186,-0.469984,0.34749,1.47996,2.17547
-0.760446,-0.448285,-0.469853,0.365192,1.4423,2.18275
-0.760453,-0.448202,-0.469921,0.29613,1.77976,1.97263
-0.760393,-0.448313,-0.469913,0.594417,1.32678,1.922
-0.760451,-0.448227,-0.469901,0.57306,1.31983,1.96319
-0.760496,-0.448132,-0.469919,0.58783,1.33818,1.92178
-0.760443,-0.448196,-0.469944,0.363399,1.48885,2.14126
-0.760454,-0.448235,-0.469888,0.38113,1.50479,2.09735
-0.760498,-0.448195,-0.469855,0.25906,1.65968,2.14715
-0.760369,-0.448221,-0.470039,0.250104,1.64992,2.17096
-0.760399,-0.448243,-0.469969,0.243721,1.68514,2.1477
-0.760428,-0.448251,-0.469915,0.382766,1.69187,1.91626
-0.760424,-0.44823,-0.469942,0.388852,1.72341,1.87633
-0.760461,-0.448212,-0.469899,0.348171,1.73632,1.92984
-0.760444,-0.448229,-0.46991,0.428023,1.68894,1.84582
-0.760436,-0.44824,-0.469914,0.466544,1.46614,1.996
-0.76043,-0.448268,-0.469897,0.436962,1.46429,2.04564
-0.760434,-0.448231,-0.469924,0.416336,1.51328,2.03228
-0.760456,-0.448213,-0.469906,0.335766,1.70869,1.97628
-0.760436,-0.448234,-0.469918,0.512021,1.56641,1.82677
-0.760413,-0.448254,-0.469937,0.467195,1.65447,1.81531
-0.760438,-0.448234,-0.469916,0.406713,1.61113,1.95453
-0.7604,-0.448216,-0.469994,0.616713,1.50382,1.71705
-0.760363,-0.448283,-0.469989,0.625566,1.46677,1.73806
-0.760407,-0.448258,-0.469943,0.379716,1.80951,1.80899
-0.760425,-0.448294,-0.469879,0.390145,1.81872,1.78333
-0.760482,-0.448154,-0.46992,0.563895,1.29218,2.0044
-0.760421,-0.448197,-0.469978,0.548264,1.29436,2.02761
-0.76047,-0.448148,-0.469946,0.552716,1.30654,2.00879
-0.760471,-0.448212,-0.469883,0.636667,1.40329,1.78065
-0.760411,-0.448267,-0.469928,0.626467,1.39321,1.80677
-0.76041,-0.448242,-0.469953,0.627915,1.41793,1.78085
-0.760467,-0.448185,-0.469915,0.621057,1.35307,1.85381
-0.76046,-0.448138,-0.469972,0.469589,1.33021,2.12073
-0.760453,-0.448193,-0.469929,0.49601,1.32622,2.08178
-0.760455,-0.448235,-0.469886,0.457571,1.74921,1.74051
-0.760431,-0.448218,-0.469941,0.454804,1.51208,1.97118
-0.760442,-0.448246,-0.469897,0.316985,1.64775,2.06479
-0.760469,-0.448204,-0.469893,0.281201,1.66453,2.1067
-0.760392,-0.448307,-0.46992,0.55418,1.26172,2.04917
-0.760412,-0.448264,-0.469929,0.556277,1.2726,2.0354
-0.760436,-0.448181,-0.469969,0.568249,1.26277,2.0254
-0.760361,-0.44827,-0.470006,0.266795,1.66769,2.127
-0.760426,-0.448239,-0.46993,0.278931,1.6267,2.14645
-0.760395,-0.448292,-0.46993,0.501603,1.35699,2.04338
-0.760447,-0.448228,-0.469906,0.516056,1.34167,2.03461
-0.760424,-0.448249,-0.469923,0.493138,1.34033,2.07297
-0.760403,-0.448244,-0.469962,0.610983,1.53677,1.6949
-0.76051,-0.448212,-0.469819,0.627006,1.50662,1.69773
-0.760443,-0.448197,-0.469942,0.469145,1.75098,1.7201
-0.760455,-0.448238,-0.469883,0.497819,1.7109,1.71193
-0.760434,-0.448231,-0.469925,0.635328,1.47823,1.71134
-0.760438,-0.448222,-0.469926,0.307984,1.74439,1.98719
-0.760429,-0.44837,-0.4698,0.421055,1.35698,2.17373
-0.760439,-0.448133,-0.470011,0.405513,1.38291,2.17415
-0.760454,-0.448191,-0.46993,0.391615,1.55789,2.02974
-0.760432,-0.448185,-0.469972,0.403712,1.39541,2.16515
-0.760429,-0.448225,-0.469938,0.478102,1.31809,2.11851
-0.760493,-0.448251,-0.469811,0.452944,1.32988,2.14798
-0.760484,-0.44815,-0.469921,0.575146,1.35204,1.9291
-0.760447,-0.448197,-0.469936,0.570908,1.37156,1.91734
-0.76047,-0.448263,-0.469836,0.362452,1.4181,2.21027
-0.760436,-0.448177,-0.469973,0.371492,1.39918,2.21369
-0.760464,-0.448227,-0.469881,0.344941,1.43229,2.22508
-0.760466,-0.448234,-0.46987,0.3872,1.39167,2.19543
-0.760456,-0.448245,-0.469876,0.260088,1.56936,2.23164
-0.760353,-0.448259,-0.470029,0.25785,1.56112,2.24312
-0.760472,-0.448184,-0.469908,0.247435,1.58723,2.23507
-0.760499,-0.448126,-0.46992,0.54153,1.27289,2.05898
-0.760444,-0.448266,-0.469876,0.544001,1.28269,2.04564
-0.760438,-0.448281,-0.469871,0.532525,1.29211,2.05522
-0.760451,-0.448307,-0.469824,0.471334,1.3093,2.13785
-0.760406,-0.448229,-0.469973,0.63195,1.36111,1.82852
-0.760417,-0.448276,-0.46991,0.641418,1.36991,1.8048
-0.76035,-0.448316,-0.46998,0.638354,1.35094,1.82786
-0.760475,-0.448204,-0.469884,0.319806,1.79183,1.9228
-0.76045,-0.448232,-0.469898,0.319277,1.82002,1.89677
-0.760465,-0.448194,-0.46991,0.340504,1.80239,1.87923
-0.760415,-0.448328,-0.469863,0.533872,1.33075,2.01619
-0.760452,-0.448239,-0.469888,0.552581,1.32017,1.99601
-0.76044,-0.448236,-0.46991,0.527986,1.32057,2.03543
-0.760438,-0.448228,-0.469921,0.358812,1.76003,1.89001
